Straße ;Planquadrat ;Datum der Benennung;Informationen zur Benennung 
Bartningstraße ;F-G 10 ;03. Mai 67;Stadtteil Kranichstein, benannt nach Professor Otto Bartning (1883-1959), Baumeister, Architekt u. Erneuerer des protestantischen Kirchenbaus. 
Grundstraße ;F-G 10 ;03. Mai 67;Stadtteil Kranichstein, Benennung nach dem Darmstädter Architekten Prof. Peter Grund (1892-1966). 
Meißnerweg ;F-G 10 ;03. Mai 67;Stadtteil Kranichstein, benannt nach Paul Meißner (18681939), Architekt,lehrte an der TH Darmstadt. 
Frankfurter Straße ;F-J 7-8 ;Benennung 1859 ;Benennung nach der Stadt Frankfurt am Main. 
De-la-Fosse-Weg ;G 10 ;03. Mai 67;Stadtteil Kranichstein, benannt nach Louis Rémy de la Fosse (1666-1726), Erbauer des Schlosses und der 
Kesselhutweg ;G 10 ;03. Mai 67;Stadtteil Kranichstein, benannt nach Jakob Kesselhut (gest. 1610), landgräflicher Baumeister 
Mittermayerweg ;G 10 ;03. Mai 67;Stadtteil Kranichstein,benannt nach Michael Mittermayer (1757-1816), fürstlicher Baumeister in Darmstadt. 
Pfannmüllerweg ;G 10 ;03. Mai 67;Stadtteil Kranichstein, benannt nach Seyfried Pfannmüller (1577-1641), Landgräflicher Baumeister Erbauer des Pädagogs in Darmstadt. 
Am Weselacker ;G 6 ;11. Okt 61;Benennung nach eimem früheren Besitzer des Grundstückes namens Wesel 
Carl-Schenck-Ring ;G 6-8 ;9. Dezember 1970 5. Juli 1989 ;Benannt nach dem Maschinenfabrikanten Carl Schenk (1835-1910). 
Daimlerweg ;G 7 ;03. Mai 67;Benannt nach Gottlieb Daimler (1834-1900), Erfinder und Autoindustrieller 
Philipp-Reis-Weg;G 7 ;09. Dez 70;Benannt nach Philipp Reis (1834-1874),Physiker,Lehrer u. Erfinder des Telefons 
Am Nordbahnhof ;G 8 ;;Benennung nach dem nahegelegenen Nordbahnnof 
Lauterbacher Weg ;G 8 ;12. Dez 73;Benannt nach der Hessischen Kreisstadt Lauterbach. 
Martin-Luther-King-Ring ;G 8-9 ;05. Jul 89;Benannt nach dem amerikanischen Bürgerrechtler u. Baptistenpfarrer Dr. Martin Luther King (1929-1968). 
Anna-Beyer-Weg ;G 9 ;20. Jun 01;Benannt nach Anna Beyer 1867 -1922, Kunstmalerin in Darmstadt. 
Bertha-von-Suttner-Anlage ;G 9 ;05. Jul 89;Benannt nach Freifrau Bertha von Suttner, geb. Gräfin Kinsky ( 1843-1914 ) Pazifistin, Politikerin und Schriftstellerin (Pseudonym Oulot). 
Borsdorffstraße ;G 9 ;05. Juli 1989 09. September 1992 ;Stadtteil Kranichstein, benannt nach Joachim Borsdorff (1919-1985),Vorstandsvorsitzender der HEAG 
Christine-Teusch-Weg ;G 9 ;05. Juli 1989 20. Juni 2001 ;Stadtteil Kranichstein,benannt nach Christine Teusch (1888-1968), Politikerin und Lehrerin 
Elfeicher Weg ;G 9 ;17. Okt 51;Benannt nach einer Gewannbezeichnung, die sich auf elf Eichen bezieht, die früher hier standen. 
Elisabeth-Selbert-Straße ;G 9 ;05. Jul 89;Stadtteil Kranichstein,benannt nach Elisabeth Selbert (1896-1986), Politikerin, Rechtsanwältin u.Notarin Mitglied der ersten Bundesversammlung,Trägerin des Bundesverdienstkreuzes. 
Erika-Köth-Weg ;G 9 ;20. Jun 01;Benannt nach Erika Köth (1925-1989), Darmstädter Sopranistin u. Dozentin. 
Helene-Christaller-Weg ;G 9 ;20. Jun 01;Benannt nach Helene Christaller (1872-1953),Pfarrfrau u. Schriftstellerin 
Herta-Mansbacher-Straße ;G 9 ;20. Jun 01;Benannt nach Herta Mansbacher (18851942),Darmstädter Lehrerin u. heimliche Chronistin der Jüdischen Gemeinde Worms 
Ida-Seele-Weg ;G 9 ;20. Jun 01;Benannt nach Ida Seele (1825-1901), Erste Kindergärtnerin Darmstadts 
Kastanienallee ;G 9 ;Benennung 1729 ;Benannt nach den Kastanienbäumen, die hier im Jahr 1729 angepflanzt wurden. 
Louise-Schröder-Weg ;G 9 ;05. Juli 1989 20. Juni 2001 ;Stadtteil Kranichstein.Benannt nach Louise Schröder (1887-1957) Politikerin, 1946 Bürgermeisterin in Berlin. 
Luise-Büchner-Weg ;G 9 ;20. Jun 01;Benannt nach Luise Büchner (1821-1877),Vorkämpferin für Mädchenbildung u. bezahlte Frauenarbeit. 
Maria-Sevenich-Weg ;G 9 ;20. Jun 01;Benannt nach Maria Sevenich (1907-1970), Widerstandskämpferin 
Bunsenstraße ;G-H 5-6 ;12. Dez 73;Benannt nach Prof. Robert Wilhelm Bunsen (1811-1899), Chemiker u Naturforscher 
Gräfenhäuser Straße ;G-H 6-7 ;;Benennung nach dem Ort Gräfenhausen 
Otto-Röhm-Straße ;G-H 6-7 ;17. Mrz 65;Benannt nach Dr. Otto Röhm (1876-1939), Chemiker und Industrieller.Gründer und Mitinhaber der Firma Röhm & 
Butzbacher Weg ;G-H 8 ;22. Jun 66;Benennung nach der Stadt Butzbach in der Wetterau 
Marburger Straße ;G-H 8 ;22. Jun 66;Benannt nach der mittelhessischen stadt Marburg an der Lahn. 
Bürgerpark Nord ;G-H 8-9 ;;Parkanlage 
Im Emser ;G-H 9 ;;Nach einer Notiz in den Bürgermeistereiakten von 1904 war der Emser eine der besseren Weinberganlagen in der Stadtumgebung. 
An der Fasaneriemauer ;G-H 9-10 ;;Benennung nach der Fasanenzucht von Landgräfin Sophie Eleonore 
Graupnerweg ;G-H 9-10 ;26. Juni 1953 26. Februar 1960 ;Benannt nach Johann Christoph Graupner (1683-1760), seit 1712 Hochfürstlicher Kapellmeister, Komponist und Kirchenmusiker in Darmstadt. 
Mainzer Straße ;G-J 5-6 ;26. Jun 53;Benannt nach der Rheinland-Pfälzischen Hauptstadt Mainz. 
Briegelweg ;H 10 ;06. Nov 63;Benannt nach Wolfgang Carl Briegel (1626-1712), Komponist von weltlicher u. kirchlicher Musik, Sänger u. Instrumentalist, legte den Grundstock für Darmstadts Ruf als Theater u. Musikstadt. 
Mangoldweg ;H 10 ;26. Aug 70;Benannt nach den Darmstädter Brüdern Mangold, Wilhelm (1796-1875), Hofkapellmeister und Carl Amand (1813-1889), Hofmusikdirektor. 
Meyerbeerweg ;H 10 ;21. Jul 76;Benannt nach Giacomo Meyerbeer eigentl. Jakob Liebmann Meyer Beer (1791-1864), Komponist, Schüler des Darmstädter Kapellmeisters Vogler. 
Molkenbachweg ;H 10 ;17. Dez 03;Dieser Weg verläuft bis zu einer Brücke über den Molkenbach. 
Haasstraße ;H 5 ;06. Jan 65;Benannt nach Karl Friedrich Wilhelm Haas (1839-1913), Darmstädter Jurist, Verwaltungsbeamter,Politiker u. Vorkämpfer der bäuerlichen Genossenschaften. 
Im Harras ;H 5 ;07. Mai 54;Gewannbezeichnung,Benennung nach dem Waldstück 'Harras'. 
Koblenzer Straße ;H 5 ;22. Jun 66;Benannt nach der Rheinland-Pfälzischen Stadt Koblenz. 
Kölner Straße ;H 5 ;22. Jun 66;Benannt nach der Nordrhein-Westfälischen Stadt Köln. 
Nansenstraße ;H 5 ;24. Mrz 56;Benannt nach Fridtjof Nansen (1861-1930), norwegischer Zoologe , Meereskundler, Polarforscher, Staatsmann u. Menschenrechtler. 
Akazienweg ;H 5-6 ;21. Aug 59;Benennung nach der Baumart 
Gehaborner Weg ;H 5-6 ;05. Okt 51;Gewannbezeichnung,nach dem Gehaborner Hof,einem Gut unter der Verwaltung der Stadt Darmstadt. 
An der Windmühle ;H 6 ;Benennung 1905 ;Benennnung seit 1905, Nach der in jener Gegend einst stehenden Windmühle 
Dieselstraße ;H 6 ;08. Aug 60;Benannt nach Rudolf Diesel, Ingenieur (1858-1913), Erfinder des Dieselmotors 
Fabrikstraße ;H 6 ;16. Jun 56;Über die Benennung gibt es keine sicheren Erkenntnisse 
Neuwiesenweg ;H 6 ;Benennung 1949 ;Benannt nach der alten Flurbezeichnung 'Die Neuwiese' 
Pfnorstraße;H 6 ;26. Juni 1953 16. Juni 1956 ;Benannt nach Johann Wilhelm Gottlieb Pfnor (17921869), Großherzoglicher Kanzleirat u. Erfinder,erfand die sog. Klischees und noch ein verbessertes Verfahren im Buntdruck. 
Leydheckerstraße ;H 6-7 ;16. Jun 56;Benannt nach Dr. Otto Leydhecker (1869-1950), Darmstädter Mediziner. 
Pallaswiesenstraße ;H 6-8 ;;Gewannbezeichnung, die aus dem verstümmelten Namen 'Balleswiese' entstanden ist. 
Benzweg ;H 7 ;22. Jun 66;Benannt nach Carl Benz (1844-1929), Erfinder des Kraftwagens 
Helfmannstraße ;H 7 ;Benennung 1905 ;Benannt nach Johann Adam Helfmann (18151885),Darmstädter Begründer der Helfmannstiftung. 
Im Tiefen See ;H 7 ;Benennung 1920 ;Benannt nach einer Gewannbezeichnung,die daran erinnert, dass der Darmbach bevor er reguliert wurde,die 
Irenenstraße ;H 7 ;Benennung 1872 ;Benannt nach Irene, Prinzessin von Hessen (1866-1953), Tochter von Großherzog Ludwig IV.von Hessen u. bei Rhein und Prinzessin Alice von Großbritannien. 
Jacobistraße ;H 7 ;Benennung 1920 ;Benannt nach Kommerzienrat Ferdinand Jacobi (18451917), Gründer des Bauvereins 'Daheim' zur Errichtung billiger Einfamilienhäuser. 
Junkersweg ;H 7 ;26. Jun 85;Benannt nach Hugo Junkers (1859-1935), Flugzeugkonstrukteur 
Kahlertstraße ;H 7 ;Benennung 1872 ;Benannt nach dem Darmstädter Kaufmann Justus Georg Kahlert (1800-1862), Oberbürgermeister v. Darmstadt (1858-1862). 
Maybachweg ;H 7 ;26. Jun 85;Benannt nach Wilhelm Maybach (1846-1929), Ingenieur,Konstrukteur u. Unternehmer. 
Parcusstraße;H 7 ;Benennung 1891 ;Benannt nach Dr. August Parcus (1819-1875), Bankdirektor und Präsident des Verwaltungsrats der ehemaligen Hess. Ludwigsbahn. 
Pfarrwiesenweg;H 7 ;03. Aug 88;Gewannbezeichnung, nach einer früher im Kirchenbesitz befindlichen Wiese 
Emilstraße ;H 7-8 ;Benennung 1872 ;Benannt nach Emil, Prinz von Hessen (1790-1856), jüngster Sohn Landgraf Ludewigs X.. führte die hessischen Truppen im russischen Feldzug Napoleons 1812 bis Moskau.Später wurde er eine bedeutende Stütze der hochkonservativen Partei in Süddeutschland. 
Plaggestraße ;H 7-8 ;12. Feb 03;Benannt nach Karl Plagge (1897-1957),rettete in Wilna hunderten von Juden das Leben, da er ihnen Arbeitsbescheinigungen für den von ihm kommandierten Heeres-Kraftfahr-Park ausstellte. 
Alsfelder Straße ;H 8 ;22. Jun 66;Benennung nach der Stadt Alsfeld in Oberhessen 
Arheilger Straße ;H 8 ;17. Okt 51;Benannt nach dem heutigen Stadtteil Arheilgen 
Bad Nauheimer Straße ;H 8 ;09. Okt 96;Benennung nach der Stadt Bad Nauheim 
Barkhausstraße ;H 8 ;Benennung 1930 ;Benannt nach Freiherr Karl Ludwig von Barkhaus-Wiesenhütten (1761-1823). Freiherr von Barkhaus war Besitzer des schönen und umfangreichen Grundbesitzes um den Karlshof. 
Beckerstraße ;H 8 ;Benennung 1903 ;Benannt nach Christian Friedrich Becker (1809-1875) hessischer Oberst. Topographisch-wissenschaftlicher Forscher,erwarb sich große Verdienste um das Darmstädter Wasserwerk. 
Büdinger Straße ;H 8 ;;Benennung nach dem Luftkurort Büdingen im Wetteraukreis. 
Datterichweg ;H 8 ;24. Jun 87;Benannt nach einer Darmstädter Originalgestalt in Niebergalls Datterich 
Eckhardtstraße ;H 8 ;Benennung 1903 ;Stadtteil Kranichstein, benannt nach Christian Leonhard Philipp Eckhardt (1784-1866), schuf mit anderen die wissensch. Grundlagen der hessischen Landesvermessung. Direktor der Katasteraufnahme, Leiter der hessisch-darmstädtischen Landesvermessung. 
Friedberger Straße ;H 8 ;;Benennung nach der ehem. Freien Reichsstadt u. Kaiserburg Friedberg. 
Friedrich-Ebert-Platz ;H 8 ;Benennung 1925 ;Stadtteil Eberstadt,benannt nach Friedrich Ebert (18711925), gelernter Sattler, tätig in der Gewerkschaftsbewegung. 1918 Reichskanzler. 19191925 erster Reichspräsident der Weimarer Republik. 
Fuhrmannstraße ;H 8 ;;Nach der Beschäftigung ihrer früheren Bewohner benannt. 
Gardistenstraße ;H 8 ;;Nach der Beschäftigung ihrer früheren Bewohner benannt. 
Gießener Straße ;H 8 ;;Benennung nach der hessischen Stadt Gießen a. d. Lahn. 
Hahne-Schorsch-Platz ;H 8 ;Benennung 1953 ;Benennung nach Georg Hahn (1881-1972), Darmstädter Schlosser,Fahrradhändler u. Obermeister der Darmstädter Fahrrad-Mechaniker-Innung. 
Kaupstraße ;H 8 ;Benennung 1873 ;Benannt nach Johann Jakob Kaup (1803-1873), Darmstädter Professor der Zoologie. 
Liebfrauenstraße ;H 8 ;Benennung 1872 ;Gewannbezeichnung nach der Darmstädter Stadtkiche deren Hochaltar im Mittelalter der Maria 'Unserer Lieben Frau' geweiht war. 
Löffelstraße ;H 8 ;Benannt 1875 ;Nach ihrer eigenartigen Krümmung benannt. 
Mollerplatz ;H 8 ;20. Jan 99;Benannt nach Georg Salomon Hermann Moller (17841852), Architekt und Städtebauer, Hofbaumeister in Darmstadt. 
Mollerstraße ;H 8 ;Benennung 1889 ;Georg Salomon Hermann Moller (1784-1852), Architekt und Städtebauer, Hofbaumeister in Darmstadt. 
Müllerstraße ;H 8 ;Benennung 1873 ;Benannt nach Bauunternehmer Johann Müller (18201869), Erbauer von einem Teil des Martinsviertels. 
Ploenniesstraße;H 8 ;Benennung 1921 ;Benannt nach Wilhelm v. Ploennies (1828-1871), Darmstädter Waffentechniker und Schriftsteller. 
Rhönring;H 8 ;Benennung 1907 ;Benannt nach dem Mittelgebirge 'Rhön'. 
Riegerplatz;H 8 ;Benennung 1907 ;Benannt nach Dr. Friedrich Leonhard Maximilian Rieger (1828-1909), Germanist u. Historiker, Stifter der Martinskirche. 
Robert-Schneider-Straße;H 8 ;;Benannt nach Robert Schneider (1875-1945), beliebter Darmstädter Mundartdichter 
Albinmüllerweg ;H 9 ;24. Jun 87;Benannt nach Albin Müller (1871-1941), Architekt,entwarf u.A. das Löwentor 
Alfred-Messel-Weg ;H 9 ;06. Jan 65;Benannt nach Alfred Messel (1853-1909), Baumeister, Erbauer des Landesmuseums, Sohn des Bankiers Simon Messel. 
Am Breitwiesenberg ;H 9 ;Benennung 1910 ;Gewannbezeichnung nach einer Erhebung. 
Am Karlshof ;H 9 ;;Benennung nach Karl Ludwig Freiherr von Barkhaus-Wiesenhütten, Erbauer des Karlshofes 
August-Buxbaum-Anlage ;H 9 ;11. Okt 61;Benannt nach August Buxbaum (1876-1960), Darmstädter Bürgermeister, Architekt u. Stadtbaumeister. 
Baderweg ;H 9 ;Bennenung 1930 ;Benannt nach dem Darmstädter Maler Wilhelm Bader (1855-1920) 
Beethovenweg ;H 9 ;;Benannt nach Ludwig van Beethoven (1770-1827), Komponist 
Borngässerplatz ;H 9 ;10. Nov 04;Benannt nach Professor Wilhelm Borngässer (18791963), Landeskirchenmusikmeister,Lehrer für Musikpädagogen und Komponist. 
Brahmsweg ;H 9 ;11. Jun 54;Benannt nach Johannes Brahms (1833-1897), Komponist 
Elisabeth-Noack-Platz ;H 9 ;10. Dez 97;Benannt nach Dr. Elisabeth Noack (18951974),Darmstädter Musikwissenschaftlerin, legte 1922 als erste Frau das Hessische Schulmusiklehrer-Examen ab. 
Flotowstraße ;H 9 ;;Benannt nach Freiherr Friedrich von Flotow (1812-1883), Darmstädter Opernkomponist 
Haydnweg ;H 9 ;;Benennung nach Franz Joseph Haydn (1732-1809), Komponist, zählt zu den sogen. Wiener Klassikern. 
Heinrich-Rinck-Weg ;H 9 ;Benennung 1924 ;Dr. phil. Johann Christian Heinrich Rinck (1770-1846), Darmstädter Orgelkomponist und Musiklehrer 
Heinz-Heim-Weg ;H 9 ;Benennung 1924 ;Benannt nach Heinz Heim (1860 -1895), Darmstädter Maler und Zeichner, Bahnbrecher der Freilichtmalerei in Deutschland. 
Hohler Weg ;H 9 ;;Benennung nach einem ehemaligen Hohlweg. 
Kittlerstraße ;H 9 ;Benennung seit 1919 ;Benannt nach Geheimrat Dr. Dr.-Ing. E.h. Erasmus Kittler (1852-1929)Professor der elektrotechnischen Wissenschaft an der TH Darmstadt. 
Löwensternweg ;H 9 ;;Benannt nach Freiherr Christian Ludwig Freiherr von Löwenstern (1701-1754) Darmstädter Maler, Dichter und Komponist 
Peter-Behrens-Straße;H 9 ;06. Jan 65;Benannt nach Peter Behrens (1868-1940), Maler, Grafiker, Architekt u. Industriedesigner, Mitglied der Künstlerkolonie Darmstadt. 
Regerweg;H 9 ;;Benannt nach Max Reger (1873-1916), Komponist 
Rodinghweg;H 9 ;;Benannt nach Pieter Rodingh (1642-1685), Darmstädter Hofmaler, arbeitete um 1674 in Darmstadt 
Chopinweg ;H 9-10 ;22. Dez 82;Benannt nach Frédéric Francois Chopin (1810-1849), Komponist 
Mozartweg ;H 9-10 ;06. Nov 63;Benannt nach Wolfgang Amadeus Mozart (1756-1791), Komponist 
Richard-Wagner-Weg;H 9-10 ;Benennung 1933 ;Benannt nach Richard Wagner (1813-1883), Komponist. 
Michaelisstraße ;H-J 5 ;Benennung 1918 ;Benannt nach Dr. Georg Michaelis (1855-1912), Präsident der Eisenbahndirektion Mainz, verdient um den Neubau des Hauptbahnhofs. 
Kirschenallee ;H-J 6-7 ;;Benennung nach den Kirschbäumen die entlang der allee gepflanzt wurden. 
Landwehrstraße ;H-J 6-7 ;29. Okt 59;Erinnert an eine alte Landbefestigung zwischen Gries-heim und Goddelau. 
Kasinostraße ;H-J 7 ;Benennung 1860 ;Benennung nach dem ehem. Offizierskasino, das 1817 von Moller gebaut wurde und an der Südwestecke der Kreuzung Rheinstr./Neckarstr. stand. 
Liebigstraße ;H-J 7 ;Benennung 1872 ;Benannt nach Johann Justus von Liebig (1803-1873), hervorragender Darmstädter Chemiker. 
Heinheimer Straße ;H-J 8 ;Benennung 1824 ;Der 'Große Heinheim', bezeichnete das Gebiet der heutigen Fasanerie. 
Lichtenbergstraße ;H-J 8 ;Benennung 1873 ;Benannt nach Professor Georg Christoph Lichtenberg (1742-1799),Physiker und Schriftsteller der Deutschen Aufklärung. 
Pankratiusstraße;H-J 8 ;17. Okt 51;Die Pankratiusstraße war eine der Hauptstraßen der 'Pankratius-Vorstadt', einem Stadtviertel außerhalb der 
Prinz-Georgs-Garten;H-J 8 ;;Parkanlage 
Gutenbergstraße ;H-J 8-9 ;Benennung 1901 ;Benannt nach Johannes Gutenberg (ca.1400-1468), Erfinder der Buchdruckerkunst. 
Am Löwentor ;H-J 9 ;;Nach dem Schmucktor am Eingang zur Rosenhöhe benannt. 
Am Oberfeld ;H-J 9 ;;Benannt nach einrer Flurbezeichnung die sich auf die Lage bezog. 
Katharinenfalltorweg ;J 10 ;;Benennung nach dem Katharinenfalltor durch das früher ein Herdweg (Viehtrift) über das Oberfeld in die dortige Waldecke führte. 
Krolowweg ;J 10 ;01. Sep 99;Park Rosenhöhe, benannt nach Karl Krolow (1915-1999), Lyriker, Büchnerpreisträger 
Dornheimer Weg ;J 3-6 ;;Benennung nach der früher selbstständigen Gemeinde Dornheim westl. von Darmstadt. 
Illigweg ;J 5 ;Benennung 1920 ;Benannt nach Moritz Friedrich Illig (1777-1845), Uhrmacher, Mechanikus u. Erfinder eines Verfahrens für die Papierleimung. 
Mettegangweg ;J 5 ;Benennung 1920 ;Benannt nach Regierungs- u. Baurat Friedrich Mettegang (1854-1913), war als Mitglied der Eisenbahndirektion Mainz Miterbauer des Hauptbahnhofs Darmstadt. 
Moldenhauerweg ;J 5 ;Benennung 1920 ;Benannt nach Dr. Friedrich Karl August Moldenhauer (1797-1866),Darmstädter Chemiker u.Pionier der Zündholzindustrie. 
Paul-Gerhardt-Platz;J 5 ;29. Okt 59;Benannt nach Paul Gerhardt (1607-1676),protestant. Kirchenliederdichter 
Rabenaustraße;J 5 ;Benennung 1918 ;Benannt nach Karl von Rabenau (1845-1908), Präsident der Eisenbahndirektion Mainz. 
Rodensteinweg;J 5 ;Benennung 1920 ;Benannt nach der Burg Rodenstein, am Osthang der Neunkirchener Höhe. 
Am Hauptbahnhof ;J 6 ;20. Sep 00;Benennung nach dem dort befindlichen Hauptbahnhof 
Bratustraße ;J 6 ;20. Jan 99;Benannt nach Dr. Artur Bratu (1910-1993), Deutscher Widerstandskämpfer und Stadtschulrat in Darmstadt 
Caroline-Herschel-Straße ;J 6 ;20. Jan 99;Benannt nach Caroline Lucretia Herschel (1750-1848), Astronomin, Entdeckerin mehrerer Sterne und Kometen 
Evenaristraße ;J 6 ;20. Jan 99;Benannt nach Michael Evenari (1904-1989), geb. als Walter Schwarz,Biologe an der TH Darmstadt, Ehrendoktor, Professor der hebräischen Universität Jerusalem 
Goebelstraße ;J 6 ;15. Mrz 51;Benannt nach der 1851 gegründeten Maschinenfabrik Goebel AG. 
Im Niederfeld ;J 6 ;;Benennung nach einer ehem. Feldgemarkung, die tiefer als das übrige Stadtgebiet liegt. 
Külpstraße ;J 6 ;Benennung 1918 ;Benannt nach Professor Dr. Edmund Jakob Külp (18001862), Direktor der Realschule sowie der höheren Gewerbeschule, aus der die TH hervorging, der erste urkundlich nachweisbare Ehrenbürger Darmstadts. 
Lise-Meitner-Straße ;J 6 ;20. Jan 99;Benannt nach Lise Meitner (1878-1968), Atomphysikerin, Namensgeberin für das chemische Element 109 'Meitnerium' 
Marie-Curie-Straße ;J 6 ;20. Jan 99;Benannt nach Marie Sklodowska Curie (1867-1934), erste Nobelpreisträgerin für Chemie und Physik, Namensgeberin des Begriffs 'Radioaktivität'. 
Platz der Deutschen Einheit;J 6 ;3. Mai 1957 7. August 1959 ;Die Benennung sollte an die Teilung Deutschlands erinnern u. die Dringlichkeit der Wiedervereinigung herausstellen. 
Poststraße;J 6 ;Benennung 1918 ;Benannt nach dem Postamt 1 das dort liegt. 
Bismarckstraße ;J 6-7 ;Benennung 1895 ;Benannt nach dem Ehrenbürger Darmstadts, Otto von Bismarck (1815-1898).Gründer u. erster Kanzler des Deutschen Reiches. Während seiner Tätigkeit als Bundestagsgesandter kam er wiederholt nach Darmstadt und wohnte stets im Hause Kasinostr. 2. 
Mornewegstraße ;J 6-7 ;Benennung 1918 ;Benannt nach Adolf Morneweg (1851-1909), Kreisamtmann und Polizeirat, Oberbürgermeister von Darmstadt (1892-1909). 
Adelungstraße ;J 7 ;Benennung 1945 ;Benannt nach Bernhard Adelung (1876-1943) gelernter Schriftsetzer, 1923-1933 Hessischer Staatspräsident 
Am Alten Bahnhof ;J 7 ;19. Aug 55;Hier befanden sich früher die zwei Darmstädter Hauptbahnhöfe 
Am Alten Landtag ;J 7 ;16. Jun 56;Nach dem früher hier stehenden alten Landtagsgebäude benannt. Zerstört beim Luftangriff auf DA am 11.9.1944 
Am Herrnacker ;J 7 ;Benennung 1923 ;Gewannbezeichnung nach einer ehem. Feldgewann im landgräflichen Besitz. 
Bleichstraße ;J 7 ;Benennung 1824 ;Benannt nach dem Trockenhaus u. der Bleiche, die früher dort standen. 
Braunshardter Weg ;J 7 ;27. Okt 50;Benennung nach der Gemeinde Braunshardt, heute ein Teil von Weiterstadt 
Dolivostraße ;J 7 ;06. Aug 69;Benannt nach Dr.-Ing. E.h. Michael Dolivo-Dobrowolsky (1862-1919), Erfinder auf dem Gebiet der Elektrotechnik 
Feldbergstraße ;J 7 ;Benennung 1874 ;Nach dem Feldberg benannt 
Friedrichstraße ;J 7 ;Benennung 1860 ;Benannt nach Friedrich, Prinz von Hessen (1788-1867). 
Gagernstraße ;J 7 ;26. Jun 53;Benannt nach Friedrich Freiherr von Gagern (17991880), Hessischer Ministerpräsident 
Grafenstraße ;J 7 ;Benennung 1860 ;Benannt nach Maurermeister Anton Graf (gest. 1813) u. seinem Sohn Jakob (1773-1810), die einen Teil der dort stehenden Häuser gebaut haben. 
Johannesplatz ;J 7 ;Benennung 1918 ;Benennung wegen der dort stehenden gleichnamigen Kirche 
Julius-Reiber-Straße ;J 7 ;;Benannt nach Julius Reiber (1883-1960), Darmstädter Bürgermeister 
Kennedyplatz ;J 7 ;25. Nov 63;Benannt nach John Fitzgerald Kennedy (1917-1963), Präsident der USA (1961-1963). 
Mathildenplatz ;J 7 ;Benennung 1834 ;Mathilde (1813-1862), Tochter Ludwigs I. von Bayern, Gemahlin des Großherzogs Ludwig III. 
Gustav-Lorenz-Straße ;J 7-8 ;;Benannt nach Geh. Obermedizinalrat Prof. Dr. Gustav Lorenz (1846-1927), Schöpfer der Schweine-Rotlauf-Schutzimpfung. 
Luisenplatz ;J 7-8 ;Benennung 1820 ;Benannt nach Luise, Großherzogin von Hessen (17611829) 
Alexanderstraße ;J 8;12. Dezember 1843 ;Benannt nach Alexander II., dem Zar von Rußland(1818-1881), der sich im Jahre 1841 mit Prinzessin Marie von Hessen, der Tochter des Großherzogs Ludwig II., vermählte. Er bedachte bei jedem Besuch in Darmstadt die Armen mit Spenden. 
Adolf-Spieß-Straße ;J 8 ;;Benannt nach dem Begründer des Schulturnens, Adolf Spieß (1810-1858). Der hessische Turnvater hat sich in der Förderung der Leibesübungen einen internationalen Namen gemacht. Er wurde in Lauterbach geboren, studierte Theologie und bereitete sich auf das Pfarramt vor. 1848 wurde er beauftragt, den Turnunterricht an allen hess. Schulen einzuführen. 1858 starb Spieß in Darmstadt. 
Altstadtanlage ;J 8 ;22. Dez 82;Grünanlage in der ehemaligen Altstadt Darmstadts 
Am Kleinen Woog ;J 8 ;26. Jun 53;Benannt nach einem künstlich angelegten Teich vor der Stadtmauer 
An der Stadtkirche ;J 8 ;20. Okt 50;Benennung nach der Stadtkirche 
Ballonplatz ;J 8 ;27. Feb 02;Benannt nach einer Historische Bezeichnung 
Benglerweg ;J 8 ;24. Jun 87;Benannt nach einer Gestalt in Niebergalls Datterich 
Bennelbächerweg ;J 8 ;03. Aug 88;Benannt nach einer Gestalt in Niebergalls Datterich 
Döngesborngasse ;J 8 ;;Benennung nach einem früher existierenden Brunnen vor dem Haus einer Familie Dönges 
Erich-Ollenhauer-Promenade ;J 8 ;04. Nov 64;Benannt nach Erich Ollenhauer (1901-1963), Sozialdemokratischer Politiker, Mitglied des Deutschen Bundestages. 
Ernst-Ludwigs-Platz ;J 8 ;Benennung 1860 ;Benannt nach Ernst-Ludwig, Landgraf von Hessen (16671739). 
Ernst-Ludwig-Straße ;J 8 ;Benennung 1863 ;Benannt nach Ernst-Ludwig, Landgraf von Hessen (16671739). 
Fraunhoferstraße ;J 8 ;20. Jun 01;Auf dem Gelände der TU Darmstadt, Benennung nach dem Fraunhofer Institut. 
Friedensplatz ;J 8 ;Benennung 1958 ;Die Benennung soll an die Erhaltung des Friedens unter den Völkern erinnern. 
Große Bachgasse ;J 8 ;;Diese Gasse ist nach dem Stadtbach, dem Darmbach, benannt. Dieser floß vor seiner Kanalisierung vom 'Kleinen Woog' zum Schloß. 
Herrngarten / Schloßgarten ;J 8 ;;Benennung nach dem Herrngarten an der Nordseite dieser Straße. 
Hochschulstraße ;J 8 ;Benennung 1895 ;Die seit 1895 errichteten stolzen Neubauten geben der Straße ihren Namen. 
Holzstraße ;J 8 ;;In dieser Straße standen früher die Holzverkäufer, daher die Benennung. 
Im Carree ;J 8 ;29. Okt 96;
Kantplatz ;J 8 ;26. Feb 60;Benannt nach Immanuel Kant (1724-1804), Philosoph, Hauptvertreter der Philosophie der Aufklärung. 
Kapellplatz ;J 8 ;;Benennung nach der Friedhofskapelle, deren Ruine noch auf dem Platz steht. 
Kaplaneigasse ;J 8 ;13. Aug 51;Benennung nach dem ehemal. Amtshaus des Kaplans,des 2. Stadtgeistlichen. 
